GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017,respop72018
0500000US50001,50001,"Addison County, Vermont",36821,36821,36826,36967,36901,36936,36933,36926,36925,36940,36973
0500000US50003,50003,"Bennington County, Vermont",37125,37125,37083,36814,36614,36543,36173,36161,35921,35713,35631
0500000US50005,50005,"Caledonia County, Vermont",31227,31231,31162,31102,31019,31039,30868,30643,30156,30154,30302
0500000US50007,50007,"Chittenden County, Vermont",156545,156540,156773,158023,158677,159444,159961,161294,161542,162891,164572
0500000US50009,50009,"Essex County, Vermont",6306,6306,6312,6323,6223,6193,6154,6196,6227,6213,6250
0500000US50011,50011,"Franklin County, Vermont",47746,47752,47813,48214,48307,48394,48749,48973,48976,49007,49421
0500000US50013,50013,"Grand Isle County, Vermont",6970,6970,6948,6973,6971,6988,6967,6870,6917,6983,7090
0500000US50015,50015,"Lamoille County, Vermont",24475,24475,24517,24706,24945,25112,25130,25238,25325,25345,25300
0500000US50017,50017,"Orange County, Vermont",28936,28941,28947,29018,28917,28851,28878,28890,28921,28999,28999
0500000US50019,50019,"Orleans County, Vermont",27231,27234,27245,27191,27161,27134,27021,27030,26762,26834,26907
0500000US50021,50021,"Rutland County, Vermont",61642,61653,61578,61220,60791,60480,60031,59547,59113,59000,58672
0500000US50023,50023,"Washington County, Vermont",59534,59522,59569,59584,59405,59217,58960,58645,58356,58283,58140
0500000US50025,50025,"Windham County, Vermont",44513,44513,44505,44239,43998,43889,43663,43252,43172,42906,42756
0500000US50027,50027,"Windsor County, Vermont",56670,56661,56602,56605,56134,55992,55730,55532,55331,55257,55286
