County,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Addison County,"36,002","36,055","36,320","36,432","36,580","36,611","36,758","36,886","36,905","36,847",36826,36967,36901,36936,36933,36926,36925,36940,36973
Bennington County,"36,965","36,974","37,105","37,083","37,062","36,960","37,127","37,077","37,168","37,151",37083,36814,36614,36543,36173,36161,35921,35713,35631
Caledonia County,"29,662","29,704","30,046","30,188","30,642","30,881","31,252","31,238","31,167","31,213",31162,31102,31019,31039,30868,30643,30156,30154,30302
Chittenden County,"147,161","148,441","149,639","150,410","151,445","152,163","152,861","153,625","154,659","155,793",156773,158023,158677,159444,159961,161294,161542,162891,164572
Essex County,"6,445","6,467","6,503","6,480","6,478","6,450","6,341","6,421","6,404","6,331",6312,6323,6223,6193,6154,6196,6227,6213,6250
Franklin County,"45,530","45,900","46,305","46,590","46,942","47,192","47,392","47,455","47,462","47,620",47813,48214,48307,48394,48749,48973,48976,49007,49421
Grand Isle County,"6,909","7,020","7,108","7,201","7,265","7,282","7,173","7,152","7,211","7,022",6948,6973,6971,6988,6967,6870,6917,6983,7090
Lamoille County,"23,285","23,378","23,475","23,539","23,444","23,421","23,642","23,778","23,971","24,193",24517,24706,24945,25112,25130,25238,25325,25345,25300
Orange County,"28,381","28,696","28,735","28,921","29,040","29,066","29,249","29,119","29,032","28,965",28947,29018,28917,28851,28878,28890,28921,28999,28999
Orleans County,"26,321","26,443","26,540","26,908","27,064","27,224","27,215","27,332","27,269","27,234",27245,27191,27161,27134,27021,27030,26762,26834,26907
Rutland County,"63,373","63,132","62,982","63,113","62,997","63,003","62,894","62,618","62,368","61,946",61578,61220,60791,60480,60031,59547,59113,59000,58672
Washington County,"58,072","58,526","58,889","58,958","59,081","59,366","59,414","59,275","59,278","59,353",59569,59584,59405,59217,58960,58645,58356,58283,58140
Windham County,"44,074","43,998","44,122","44,353","44,241","44,187","44,390","44,444","44,407","44,441",44505,44239,43998,43889,43663,43252,43172,42906,42756
Windsor County,"57,438","57,489","57,673","57,682","57,639","57,409","57,184","57,061","56,850","56,708",56602,56605,56134,55992,55730,55532,55331,55257,55286
